essay_id	essay_set	prediction
1	1	9
4	1	11
9	1	9
31	1	10
38	1	8
40	1	6
41	1	3
48	1	10
49	1	9
54	1	10
59	1	9
61	1	8
66	1	8
76	1	9
81	1	8
83	1	7
92	1	10
99	1	8
102	1	8
103	1	9
108	1	9
109	1	8
112	1	9
116	1	4
120	1	8
121	1	8
127	1	9
134	1	8
141	1	10
159	1	11
162	1	10
168	1	10
170	1	8
178	1	8
182	1	8
187	1	3
191	1	7
195	1	6
202	1	9
203	1	9
209	1	6
224	1	8
232	1	10
242	1	10
249	1	8
256	1	7
259	1	9
265	1	10
268	1	7
269	1	9
271	1	8
276	1	7
282	1	8
283	1	6
284	1	8
286	1	3
293	1	7
298	1	8
302	1	10
303	1	10
304	1	10
305	1	10
306	1	9
310	1	9
332	1	7
333	1	9
338	1	6
343	1	9
351	1	9
354	1	8
364	1	10
369	1	7
371	1	8
375	1	5
378	1	9
385	1	11
388	1	8
392	1	8
399	1	9
403	1	9
406	1	9
409	1	8
421	1	6
424	1	10
427	1	10
431	1	11
435	1	9
437	1	9
438	1	8
445	1	7
450	1	7
456	1	8
465	1	9
481	1	11
483	1	8
513	1	9
515	1	7
528	1	7
531	1	9
532	1	9
534	1	11
537	1	8
539	1	8
540	1	8
549	1	9
550	1	10
556	1	10
559	1	10
561	1	8
566	1	8
578	1	7
580	1	10
582	1	9
590	1	6
592	1	8
596	1	6
599	1	9
601	1	7
602	1	7
605	1	6
617	1	8
622	1	8
631	1	6
634	1	5
637	1	9
639	1	6
641	1	7
646	1	8
647	1	8
650	1	9
656	1	9
657	1	8
662	1	6
663	1	9
664	1	8
667	1	8
675	1	8
700	1	7
701	1	8
704	1	7
705	1	9
711	1	9
714	1	8
722	1	10
727	1	5
729	1	7
732	1	8
739	1	9
748	1	9
762	1	10
764	1	9
771	1	9
775	1	7
780	1	8
789	1	7
804	1	6
805	1	9
807	1	10
810	1	9
813	1	8
816	1	9
822	1	7
824	1	10
826	1	9
836	1	8
854	1	9
855	1	8
860	1	8
863	1	11
877	1	9
893	1	6
897	1	10
898	1	9
901	1	8
907	1	8
919	1	9
923	1	6
927	1	7
939	1	6
944	1	8
946	1	10
958	1	7
960	1	7
962	1	9
973	1	6
975	1	7
982	1	8
988	1	9
997	1	10
1013	1	8
1016	1	7
1017	1	8
1018	1	10
1031	1	9
1033	1	10
1038	1	10
1039	1	8
1041	1	8
1051	1	8
1060	1	7
1063	1	9
1073	1	8
1081	1	6
1082	1	8
1083	1	7
1085	1	9
1087	1	10
1090	1	6
1092	1	9
1095	1	7
1106	1	10
1126	1	8
1142	1	8
1147	1	9
1149	1	10
1152	1	8
1153	1	10
1161	1	8
1163	1	10
1166	1	9
1175	1	10
1180	1	9
1210	1	9
1219	1	8
1229	1	9
1230	1	9
1236	1	8
1247	1	7
1254	1	8
1255	1	10
1257	1	9
1262	1	9
1269	1	10
1271	1	9
1272	1	9
1276	1	8
1278	1	7
1287	1	9
1288	1	10
1291	1	8
1292	1	8
1295	1	3
1298	1	7
1306	1	9
1314	1	10
1318	1	8
1319	1	8
1322	1	8
1323	1	7
1327	1	10
1328	1	9
1340	1	9
1346	1	8
1349	1	10
1357	1	9
1362	1	10
1366	1	8
1375	1	9
1378	1	9
1384	1	9
1390	1	8
1391	1	9
1392	1	8
1397	1	6
1403	1	8
1407	1	8
1414	1	7
1417	1	10
1424	1	10
1427	1	10
1428	1	6
1449	1	8
1450	1	10
1452	1	10
1454	1	10
1458	1	8
1459	1	8
1461	1	6
1462	1	6
1463	1	6
1464	1	11
1468	1	9
1472	1	7
1474	1	4
1476	1	8
1481	1	7
1482	1	7
1484	1	9
1487	1	8
1494	1	9
1496	1	6
1498	1	9
1504	1	8
1506	1	7
1508	1	6
1509	1	9
1513	1	5
1514	1	8
1516	1	8
1520	1	9
1522	1	10
1524	1	7
1529	1	8
1538	1	8
1545	1	7
1550	1	8
1553	1	9
1554	1	8
1558	1	9
1560	1	9
1570	1	9
1582	1	10
1593	1	9
1594	1	8
1596	1	8
1599	1	8
1602	1	9
1616	1	9
1621	1	9
1628	1	9
1630	1	10
1631	1	8
1633	1	7
1634	1	8
1635	1	8
1641	1	7
1647	1	6
1650	1	8
1661	1	9
1664	1	9
1665	1	10
1668	1	8
1669	1	10
1676	1	7
1677	1	10
1690	1	9
1696	1	8
1699	1	8
1701	1	8
1705	1	9
1707	1	7
1714	1	7
1720	1	9
1727	1	9
1737	1	7
1739	1	10
1746	1	8
1752	1	10
1756	1	10
1759	1	8
1762	1	8
1765	1	5
1770	1	9
1771	1	9
1773	1	8
1774	1	10
1780	1	10
21618	8	10
21629	8	11
7697	3	2
2978	2	3
2981	2	3
2986	2	2
3008	2	3
3015	2	3
3017	2	3
3018	2	3
3025	2	3
3026	2	3
3031	2	2
3034	2	4
3036	2	2
3038	2	2
3043	2	3
3053	2	2
3058	2	3
3060	2	2
3069	2	3
3076	2	3
3079	2	3
3080	2	3
3085	2	2
3086	2	2
3089	2	2
3093	2	2
3097	2	3
3098	2	2
3104	2	4
3111	2	3
3118	2	2
3136	2	3
3139	2	3
3145	2	3
3147	2	2
3155	2	2
3159	2	2
3164	2	2
3168	2	3
3172	2	3
3179	2	3
3180	2	4
3201	2	3
3205	2	2
3209	2	2
3219	2	4
3226	2	2
3233	2	2
3236	2	3
3242	2	3
3245	2	2
3246	2	2
3253	2	3
3259	2	2
3260	2	3
3261	2	3
3263	2	3
3270	2	3
3271	2	4
3275	2	3
3279	2	3
3280	2	2
3281	2	4
3282	2	3
3283	2	3
3287	2	3
3303	2	3
3308	2	3
3309	2	3
3313	2	2
3314	2	3
3319	2	2
3326	2	2
3329	2	2
3339	2	3
3344	2	3
3346	2	2
3350	2	2
3353	2	2
3360	2	2
3363	2	3
3364	2	3
3367	2	4
3378	2	2
3381	2	3
3384	2	3
3386	2	3
3396	2	3
3399	2	3
3402	2	3
3406	2	3
3410	2	2
3412	2	3
3413	2	2
3420	2	3
3424	2	3
3425	2	3
3440	2	3
3442	2	3
3456	2	3
3485	2	3
3488	2	3
3490	2	3
3503	2	2
3505	2	2
3506	2	2
3509	2	4
3513	2	3
3514	2	3
3515	2	3
3524	2	3
3525	2	3
3531	2	4
3534	2	3
3539	2	4
3549	2	3
3551	2	4
3571	2	3
3574	2	2
3577	2	3
3580	2	3
3586	2	2
3590	2	3
3591	2	3
3592	2	2
3597	2	2
3609	2	3
3610	2	3
3618	2	3
3625	2	3
3627	2	3
3628	2	4
3632	2	2
3637	2	3
3638	2	2
3639	2	2
3647	2	3
3650	2	3
3653	2	3
3657	2	3
3676	2	4
3680	2	2
3683	2	3
3703	2	3
3707	2	3
3720	2	3
3723	2	4
3726	2	2
3739	2	2
3741	2	2
3742	2	3
3750	2	3
3752	2	3
3757	2	3
3769	2	3
3780	2	3
3782	2	3
3786	2	3
3793	2	4
3794	2	3
3797	2	3
3801	2	2
3802	2	3
3803	2	2
3804	2	3
3805	2	2
3818	2	2
3830	2	3
3836	2	3
3841	2	2
3850	2	2
3852	2	3
3859	2	3
3865	2	3
3868	2	3
3873	2	4
3877	2	3
3878	2	2
3882	2	2
3899	2	3
3903	2	2
3904	2	3
3920	2	3
3928	2	2
3930	2	3
3935	2	3
3937	2	3
3939	2	3
3944	2	3
3957	2	2
3960	2	3
3961	2	4
3962	2	3
3963	2	3
3968	2	3
3971	2	2
3972	2	2
3974	2	4
3981	2	4
3984	2	3
3987	2	2
3990	2	3
3992	2	3
3995	2	2
4013	2	2
4014	2	3
4016	2	3
4019	2	3
4026	2	3
4029	2	3
4037	2	3
4038	2	4
4048	2	2
4051	2	3
4052	2	3
4058	2	3
4060	2	3
4061	2	3
4063	2	3
4070	2	3
4071	2	2
4078	2	3
4080	2	3
4083	2	3
4096	2	3
4097	2	3
4101	2	4
4106	2	2
4112	2	2
4119	2	3
4130	2	3
4140	2	2
4141	2	4
4150	2	2
4155	2	2
4161	2	3
4162	2	3
4179	2	2
4181	2	2
4183	2	4
4191	2	2
4193	2	2
4197	2	3
4203	2	3
4206	2	2
4222	2	4
4223	2	3
4230	2	3
4235	2	2
4240	2	2
4241	2	4
4243	2	2
4252	2	3
4254	2	4
4264	2	2
4276	2	2
4285	2	3
4291	2	2
4296	2	3
4300	2	3
4301	2	3
4309	2	2
4314	2	2
4326	2	3
4329	2	4
4330	2	3
4343	2	2
4359	2	3
4361	2	3
4364	2	2
4367	2	3
4370	2	3
4378	2	3
4384	2	3
4385	2	3
4387	2	2
4388	2	3
4396	2	3
4400	2	2
4402	2	3
4405	2	3
4408	2	2
4410	2	4
4413	2	3
4414	2	3
4416	2	3
4421	2	3
4422	2	3
4429	2	4
4434	2	3
4440	2	3
4448	2	4
4449	2	3
4450	2	2
4451	2	3
4452	2	3
4454	2	2
4458	2	4
4459	2	3
4461	2	3
4469	2	3
4479	2	3
4482	2	2
4490	2	2
4491	2	2
4508	2	3
4514	2	3
4527	2	3
4529	2	3
4530	2	3
4531	2	3
4533	2	3
4537	2	3
4543	2	3
4551	2	3
4553	2	3
4556	2	3
4566	2	3
4575	2	3
4591	2	3
4598	2	2
4605	2	3
4607	2	2
4612	2	3
4615	2	2
4617	2	3
4619	2	2
4620	2	3
4623	2	3
4624	2	4
4626	2	2
4627	2	2
4630	2	3
4631	2	2
4648	2	3
4653	2	2
4666	2	3
4671	2	3
4674	2	3
4679	2	3
4685	2	4
4690	2	3
4694	2	2
4696	2	3
4701	2	2
4702	2	2
4716	2	2
4720	2	4
4723	2	4
4724	2	2
4726	2	3
4728	2	3
4729	2	3
4737	2	2
4740	2	3
4744	2	2
4745	2	3
4751	2	4
4754	2	4
4760	2	3
5978	3	1
5981	3	1
5986	3	2
5997	3	2
6000	3	2
6008	3	2
6016	3	3
6018	3	1
6019	3	1
6026	3	2
6027	3	2
6028	3	2
6030	3	3
6032	3	2
6037	3	2
6039	3	2
6044	3	1
6054	3	1
6059	3	1
6060	3	1
6061	3	2
6070	3	1
6073	3	3
6077	3	2
6080	3	2
6081	3	1
6083	3	1
6086	3	2
6087	3	1
6090	3	1
6094	3	2
6098	3	2
6105	3	3
6119	3	2
6137	3	2
6140	3	2
6146	3	2
6148	3	1
6156	3	2
6160	3	2
6169	3	2
6173	3	1
6180	3	3
6181	3	2
6183	3	2
6187	3	1
6202	3	1
6210	3	2
6215	3	1
6220	3	3
6227	3	1
6234	3	1
6237	3	2
6238	3	1
6243	3	2
6246	3	2
6247	3	3
6249	3	3
6254	3	1
6262	3	3
6264	3	3
6267	3	2
6271	3	2
6276	3	3
6280	3	1
6281	3	3
6282	3	2
6283	3	1
6284	3	2
6288	3	2
6309	3	1
6315	3	1
6320	3	1
6327	3	2
6330	3	3
6340	3	2
6345	3	1
6347	3	1
6351	3	3
6354	3	1
6361	3	2
6365	3	1
6368	3	1
6375	3	1
6379	3	2
6382	3	1
6385	3	2
6393	3	1
6397	3	2
6403	3	2
6407	3	1
6411	3	2
6413	3	1
6414	3	2
6426	3	2
6457	3	2
6459	3	2
6486	3	1
6489	3	2
6500	3	1
6506	3	1
6508	3	2
6510	3	1
6513	3	1
6514	3	1
6525	3	1
6526	3	1
6532	3	2
6535	3	3
6537	3	1
6540	3	1
6550	3	2
6558	3	1
6563	3	2
6566	3	2
6568	3	1
6571	3	2
6576	3	2
6578	3	2
6582	3	1
6592	3	2
6593	3	2
6594	3	2
6602	3	1
6605	3	1
6608	3	1
6612	3	1
6614	3	1
6616	3	1
6620	3	1
6623	3	2
6624	3	1
6627	3	2
6629	3	1
6630	3	1
6633	3	3
6642	3	1
6643	3	1
6644	3	1
6658	3	2
6659	3	2
6663	3	1
6673	3	2
6678	3	2
6680	3	3
6681	3	2
6682	3	3
6688	3	1
6693	3	2
6698	3	1
6704	3	2
6709	3	1
6710	3	1
6716	3	2
6728	3	2
6730	3	1
6737	3	1
6746	3	1
6748	3	2
6752	3	2
6754	3	1
6766	3	1
6771	3	3
6773	3	1
6781	3	2
6782	3	1
6787	3	2
6793	3	1
6796	3	1
6801	3	1
6804	3	2
6808	3	2
6819	3	1
6821	3	1
6840	3	2
6848	3	1
6854	3	3
6872	3	2
6873	3	2
6874	3	1
6879	3	2
6896	3	2
6900	3	2
6904	3	2
6910	3	2
6936	3	2
6943	3	2
6950	3	2
6957	3	2
6958	3	2
6963	3	2
6966	3	1
6968	3	3
6971	3	2
6973	3	1
6974	3	3
6976	3	1
6985	3	1
6987	3	1
6989	3	2
6994	3	1
6998	3	2
7025	3	2
7034	3	2
7045	3	1
7047	3	2
7051	3	1
7052	3	1
7062	3	1
7063	3	2
7065	3	2
7068	3	1
7075	3	2
7079	3	2
7096	3	2
7099	3	2
7111	3	2
7116	3	2
7126	3	2
7127	3	2
7128	3	3
7130	3	2
7133	3	2
7146	3	2
7147	3	2
7152	3	2
7162	3	2
7176	3	2
7178	3	1
7184	3	3
7192	3	1
7199	3	1
7204	3	2
7205	3	2
7210	3	2
7219	3	2
7222	3	2
7223	3	1
7224	3	2
7228	3	2
7231	3	3
7241	3	2
7245	3	2
7247	3	2
7251	3	2
7272	3	2
7278	3	2
7286	3	1
7289	3	2
7291	3	2
7292	3	1
7295	3	2
7299	3	1
7300	3	2
7305	3	1
7310	3	1
7311	3	1
7312	3	1
7313	3	1
7316	3	2
7322	3	1
7324	3	1
7326	3	2
7329	3	1
7330	3	2
7334	3	2
7335	3	3
7339	3	2
7340	3	2
7355	3	2
7358	3	1
7359	3	1
7366	3	2
7367	3	1
7374	3	1
7379	3	1
7382	3	2
7384	3	2
7388	3	2
7392	3	2
7394	3	2
7395	3	1
7397	3	1
7398	3	1
7400	3	1
7403	3	2
7404	3	2
7410	3	2
7411	3	1
7412	3	1
7413	3	2
7420	3	2
7422	3	1
7426	3	1
7432	3	1
7438	3	2
7441	3	2
7442	3	2
7444	3	2
7448	3	1
7451	3	1
7453	3	2
7457	3	1
7459	3	1
7465	3	1
7467	3	3
7472	3	2
7479	3	1
7498	3	2
7505	3	2
7509	3	2
7528	3	2
7531	3	2
7537	3	2
7543	3	3
7546	3	2
7551	3	2
7554	3	3
7558	3	1
7559	3	1
7560	3	2
7576	3	2
7583	3	2
7586	3	1
7591	3	3
7592	3	1
7599	3	3
7600	3	2
7613	3	3
7621	3	2
7627	3	2
7629	3	1
7632	3	2
7648	3	1
7655	3	1
7658	3	2
7659	3	2
7662	3	2
7663	3	2
7664	3	2
7667	3	2
7669	3	1
7676	3	2
7683	3	1
7686	3	2
13629	5	3
8863	4	0
8866	4	1
8871	4	1
8893	4	1
8900	4	2
8902	4	3
8903	4	2
8910	4	1
8911	4	2
8916	4	2
8921	4	3
8923	4	3
8928	4	2
8938	4	1
8943	4	1
8945	4	2
8954	4	3
8961	4	2
8964	4	0
8965	4	2
8970	4	1
8971	4	2
8974	4	3
8978	4	1
8982	4	1
8983	4	3
8989	4	0
8996	4	3
9003	4	3
9021	4	2
9024	4	1
9030	4	1
9032	4	1
9040	4	2
9044	4	3
9049	4	2
9053	4	1
9057	4	1
9064	4	2
9065	4	1
9071	4	2
9086	4	1
9094	4	0
9104	4	2
9111	4	2
9118	4	2
9122	4	3
9128	4	2
9131	4	2
9132	4	2
9134	4	3
9139	4	1
9145	4	2
9146	4	2
9147	4	1
9149	4	3
9152	4	2
9156	4	1
9161	4	2
9165	4	2
9166	4	3
9167	4	3
9168	4	2
9169	4	1
9173	4	0
9194	4	1
9200	4	2
9205	4	2
9212	4	2
9215	4	2
9225	4	1
9230	4	2
9232	4	1
9236	4	2
9239	4	2
9246	4	1
9249	4	2
9250	4	1
9253	4	1
9260	4	2
9264	4	3
9267	4	2
9270	4	0
9272	4	0
9282	4	2
9285	4	2
9288	4	3
9292	4	2
9296	4	1
9298	4	2
9299	4	0
9306	4	2
9311	4	1
9317	4	2
9326	4	1
9328	4	1
9342	4	2
9344	4	2
9371	4	1
9374	4	2
9376	4	2
9391	4	2
9392	4	2
9393	4	1
9395	4	1
9398	4	2
9400	4	0
9401	4	3
9410	4	1
9411	4	0
9417	4	1
9422	4	3
9427	4	1
9436	4	3
9438	4	3
9440	4	2
9442	4	3
9444	4	2
9454	4	1
9457	4	2
9458	4	2
9461	4	2
9463	4	1
9484	4	1
9488	4	0
9493	4	3
9496	4	1
9499	4	0
9503	4	2
9505	4	2
9512	4	2
9514	4	2
9519	4	2
9520	4	2
9524	4	1
9525	4	3
9529	4	1
9536	4	2
9537	4	0
9539	4	2
9540	4	1
9543	4	1
9548	4	1
9562	4	3
9566	4	1
9568	4	0
9570	4	2
9572	4	1
9584	4	1
9590	4	2
9594	4	3
9602	4	1
9610	4	2
9613	4	3
9626	4	0
9633	4	1
9637	4	0
9639	4	1
9642	4	2
9644	4	3
9654	4	1
9655	4	0
9656	4	1
9664	4	1
9667	4	2
9669	4	3
9672	4	1
9679	4	1
9689	4	1
9691	4	1
9693	4	0
9700	4	3
9711	4	3
9712	4	1
9718	4	2
9724	4	2
9727	4	3
9736	4	2
9747	4	1
9756	4	0
9758	4	3
9760	4	3
9761	4	2
9778	4	0
9779	4	1
9782	4	2
9786	4	1
9787	4	1
9801	4	2
9807	4	1
9816	4	3
9823	4	1
9828	4	2
9832	4	3
9835	4	1
9843	4	2
9849	4	1
9850	4	1
9862	4	1
9869	4	1
9870	4	0
9877	4	1
9880	4	2
9895	4	1
9896	4	1
9907	4	2
9923	4	1
9932	4	3
9939	4	2
9940	4	2
9944	4	1
9947	4	2
9949	4	2
9951	4	2
9952	4	2
9959	4	1
9960	4	2
9966	4	1
9970	4	1
9971	4	1
9981	4	3
9983	4	3
9993	4	2
9997	4	1
9998	4	1
10015	4	1
10019	4	1
10029	4	1
10033	4	1
10036	4	1
10046	4	1
10049	4	1
10051	4	1
10055	4	1
10062	4	1
10065	4	2
10067	4	3
10070	4	0
10071	4	1
10074	4	1
10076	4	1
10081	4	3
10085	4	1
10090	4	3
10092	4	3
10103	4	1
10109	4	3
10112	4	1
10113	4	1
10125	4	2
10131	4	0
10136	4	2
10140	4	1
10146	4	1
10150	4	1
10152	4	2
10154	4	2
10158	4	2
10160	4	3
10165	4	1
10169	4	3
10170	4	1
10175	4	1
10182	4	1
10193	4	1
10199	4	1
10209	4	1
10212	4	1
10215	4	3
10221	4	2
10223	4	2
10233	4	1
10237	4	3
10239	4	2
10247	4	2
10251	4	3
10252	4	1
10254	4	1
10258	4	3
10263	4	2
10269	4	1
10277	4	2
10289	4	1
10290	4	1
10291	4	2
10303	4	1
10304	4	2
10305	4	3
10308	4	3
10312	4	0
10313	4	1
10315	4	2
10317	4	1
10319	4	3
10320	4	3
10321	4	2
10326	4	1
10328	4	1
10330	4	2
10332	4	2
10333	4	1
10337	4	2
10338	4	2
10348	4	1
10362	4	1
10376	4	1
10378	4	2
10383	4	2
10386	4	3
10399	4	2
10401	4	1
10404	4	3
10405	4	1
10410	4	1
10411	4	3
10424	4	3
10425	4	1
10432	4	1
10436	4	3
10440	4	1
10447	4	3
10449	4	3
10470	4	2
10475	4	3
10477	4	2
10484	4	2
